Município,Estado,IDHM 2010,IDHM Educação 2010,Classificação,Média CN,Média CH,Média LC,Média MT,Média RD,Média Total,Escola Escolhida,Alunos no EM,Valor por aluno Jan-2019 (R$40932),Valor por aluno Dez-2020 (R$55620)
Melgaço,PA,0.418,0.207,Muito Baixo,435.15,449.4,440.86,435.33,508.29,453.81,EMEIF O MUNDO DA CRIANCA,906.0,45.18,61.39
Fernando Falcão,MA,0.443,0.286,Muito Baixo,564.8,511.5,395.2,493.9,480.0,489.08,UNIDADE INTEGRADA DE EDUCACAO ESCOLAR INDIGENA MOISES KANELA,112.0,365.46,496.61
Atalaia do Norte,AM,0.45,0.259,Muito Baixo,428.3,426.34,449.64,446.31,524.62,455.04,ESCOLA MUNICIPAL SANTIAGO,628.0,65.18,88.57
Marajá do Sena,MA,0.452,0.299,Muito Baixo,444.35,407.82,398.0,431.25,295.0,395.28,UE TOMAS FERREIRA DA SILVA,103.0,397.4,540.0
Uiramutã,RR,0.453,0.276,Muito Baixo,475.7,404.4,481.9,416.3,380.0,431.66,ESCOLA MUNICIPAL INDIGENA TACITO PROFIRIO CUNHA,153.0,267.53,363.53
Chaves,PA,0.453,0.234,Muito Baixo,418.77,429.28,392.35,404.03,400.0,408.89,EMEF SAO BENEDITO DE ARAPIXI,490.0,83.53,113.51
Jordão,AC,0.469,0.283,Muito Baixo,454.46,470.25,498.28,472.51,645.45,508.19,FRANCISCO PERES BAYMA,252.0,162.43,220.71
Bagre,PA,0.471,0.28,Muito Baixo,425.78,445.3,455.6,414.31,470.0,442.2,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MANOEL MIRANDA,873.0,46.89,63.71
Cachoeira do Piriá,PA,0.473,0.303,Muito Baixo,415.54,386.74,400.65,406.88,417.5,405.46,EEEFM CEL NEWTON BARREIRA,574.0,71.31,96.9
Itamarati,AM,0.477,0.266,Muito Baixo,416.32,420.58,429.96,433.66,423.2,424.74,ESCOLA MUNICIPAL SANTA TEREZINHA,363.0,112.76,153.22
Santa Isabel do Rio Negro,AM,0.479,0.323,Muito Baixo,414.52,441.52,458.37,436.29,480.0,446.14,ESCOLA MUNICIPAL INDIGENA WATAKOWE,532.0,76.94,104.55
Ipixuna,AM,0.481,0.302,Muito Baixo,429.47,437.55,448.1,453.38,484.76,450.65,MISS DONES MARY DA SILVA,438.0,93.45,126.99
Portel,PA,0.483,0.286,Muito Baixo,438.74,450.74,459.9,436.07,472.24,451.54,EMEI ORLANDO PINTO MONTEIRO,1004.0,40.77,55.4
Inhapi,AL,0.484,0.316,Muito Baixo,430.79,480.07,459.04,461.26,484.55,463.14,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA APARECIDA,453.0,90.36,122.78
Anajás,PA,0.484,0.29,Muito Baixo,437.01,459.3,466.42,439.84,450.3,450.57,EMEF NSRA DE NAZARE DO BAIXO - ANEXA,941.0,43.5,59.11
Amajari,RR,0.484,0.319,Muito Baixo,534.68,497.81,467.76,462.52,588.57,510.27,IFRR - CAMPUS AMAJARI,175.0,233.9,317.83
São Francisco de Assis do Piauí,PI,0.485,0.336,Muito Baixo,454.1,470.6,511.9,425.8,240.0,420.48,UNID ESC TIA RICARDINA,151.0,271.07,368.34
